                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9152,                 3.6653,                 1.5376,                0.66753,                  0.192,                 0.1437,                0.08142,                 1.6261,                 4.8777,                 1.3658,                 0.0757,                 0.0027,                 0.0027
                      1,                 1.6532,                 1.8603,                 1.3447,                0.78524,                  0.208,                0.24146,                0.13981,                 1.4616,                 3.0034,                 1.1705,               0.050282,              0.0052822,              0.0052822
                      2,                  1.509,                 1.5875,                 1.2437,                0.33901,                  0.276,                0.32269,                0.18356,                 1.4373,                 1.3383,                 1.1539,               0.024643,              0.0076426,              0.0076426
                      3,                  1.533,                 1.4727,                 1.1864,                0.80034,                  0.256,                0.27561,                0.17311,                 1.3805,                 1.4518,                 1.1323,               0.008812,               0.008812,               0.008812
                      4,                 1.4692,                 1.3897,                 1.1765,                0.83678,                0.32189,                0.33264,                0.18162,                 1.4678,                 1.6928,                 1.1662,               0.008812,               0.008812,               0.008812
                      5,                 1.4784,                 1.3028,                   1.14,                 0.8097,                0.31246,                0.30672,                0.16208,                 1.6051,                 1.6778,                 1.1769,               0.008416,               0.008416,               0.008416
                      6,                 1.4371,                 1.2569,                 1.1237,                0.81698,                  0.324,                0.31713,                0.17992,                 1.5473,                 1.3344,                 1.2032,                0.00802,                0.00802,                0.00802
                      7,                 1.4251,                 1.1968,                 1.1151,                0.88934,                  0.272,                0.32076,                0.18947,                 1.3958,                 1.1837,                  1.163,               0.007624,               0.007624,               0.007624
                      8,                 1.4292,                 1.2189,                 1.1328,                0.29253,                0.44059,                0.32703,                0.19148,                 1.4163,                 1.2362,                 1.1705,               0.007228,               0.007228,               0.007228
                      9,                 1.3611,                 1.1619,                 1.1173,                0.42072,                0.35852,                0.37661,                0.22373,                 1.3077,                 1.0365,                 1.0461,               0.006832,               0.006832,               0.006832
                     10,                 1.3883,                 1.1129,                 1.0954,                0.40996,                0.38904,                0.39359,                0.23132,                 1.3316,                 1.0333,                  1.037,               0.006436,               0.006436,               0.006436
                     11,                 1.3242,                 1.0425,                 1.0781,                0.46337,                0.35333,                0.37586,                0.23174,                 1.2844,                 1.0233,                 1.0435,                0.00604,                0.00604,                0.00604
                     12,                 1.2802,                  1.042,                 1.0812,                 0.4651,                0.41304,                0.39826,                0.24887,                 1.2252,                0.99392,                0.99771,               0.005644,               0.005644,               0.005644
                     13,                   1.28,                0.99561,                 1.0548,                0.52952,                0.38866,                0.40496,                0.25323,                 1.2877,                0.95747,                 1.0522,               0.005248,               0.005248,               0.005248
                     14,                 1.2876,                 0.9763,                 1.0476,                0.66856,                0.37803,                0.41863,                0.24824,                 1.3742,                0.94851,                 1.0948,               0.004852,               0.004852,               0.004852
                     15,                 1.1643,                0.87229,                0.98101,                0.79464,                0.37852,                0.44713,                0.27311,                 1.1762,                0.88699,                 1.0166,               0.004456,               0.004456,               0.004456
                     16,                 1.1045,                0.80251,                0.98437,                0.55214,                0.38904,                0.44878,                0.27337,                 1.1198,                0.93157,                0.98011,                0.00406,                0.00406,                0.00406
                     17,                 1.0689,                0.75773,                0.97213,                0.48993,                0.46908,                0.44189,                0.28069,                 1.0851,                0.94511,                0.97791,               0.003664,               0.003664,               0.003664
                     18,                 1.0539,                0.75728,                 0.9738,                0.90952,                 0.4334,                0.51644,                 0.3193,                 1.0716,                0.81601,                0.97823,               0.003268,               0.003268,               0.003268
                     19,                 1.0291,                0.76001,                 0.9524,                0.73616,                0.52563,                0.55023,                0.34113,                 1.0603,                 0.7697,                0.94737,               0.002872,               0.002872,               0.002872
                     20,                  1.023,                0.73056,                0.95769,                0.63863,                0.46859,                0.52084,                0.34571,                0.98665,                 0.7096,                 0.9308,               0.002476,               0.002476,               0.002476
                     21,                0.98958,                0.67565,                0.93911,                0.52006,                0.51065,                0.50278,                0.33366,                0.98284,                0.76321,                0.91905,                0.00208,                0.00208,                0.00208
                     22,                0.93893,                0.63033,                0.93142,                 0.5524,                0.50711,                  0.501,                0.34516,                0.97784,                0.75726,                0.92624,               0.001684,               0.001684,               0.001684
                     23,                0.94282,                0.62433,                0.92831,                0.59263,                0.48459,                0.52472,                0.34556,                 1.0194,                0.73735,                0.93816,               0.001288,               0.001288,               0.001288
                     24,                0.92019,                0.63404,                0.92292,                0.59189,                0.50311,                0.54185,                0.35419,                0.98582,                0.70864,                0.93014,               0.000892,               0.000892,               0.000892
